,Motion_Sensor1,Motion_Sensor2,Motion_Sensor3,Motion_Sensor4,Motion_Sensor5,Motion_Sensor6,Motion_Sensor7,Motion_Sensor8,Motion_Sensor9,Motion_Sensor10,Camera1,Camera2,Camera3,Camera4,robot1,robot2,door_sensor1,door_sensor2,door_sensor3,door_sensor4,door_sensor5,door_sensor6,door_sensor7,door_sensor8,door_sensor9,door_sensor10,door_sensor11,time,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,outside
0,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,1.0,1.0,1.0,1.0,"('r1', 0)","('r7', 0)",0,3,0,0,0,0,0,0,0,0,0,08:00:15,0,0,17,0,0,0,0,0,0,0,4,0,0,1
1,motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,2.0,1.0,0.0,"('r2', 0)","('c3', 0)",0,4,2,0,0,0,0,0,0,0,0,08:00:30,0,0,10,2,0,0,0,0,0,0,5,4,0,1
2,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,4.0,1.0,2.0,"('r1', 0)","('r7', 0)",0,4,4,1,0,0,0,0,0,0,0,08:00:45,0,0,4,4,1,0,0,0,0,1,6,3,3,0
3,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,4.0,1.0,2.0,"('r1', 1)","('r7', 1)",1,2,8,4,2,0,2,0,1,0,0,08:01:00,1,2,0,4,3,2,1,0,0,1,6,1,1,0
4,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,3.0,1.0,1.0,"('r1', 2)","('c3', 0)",2,2,1,2,3,0,1,0,0,0,0,08:01:15,2,1,2,3,2,3,2,0,0,3,2,2,0,0
5,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,3.0,1.0,3.0,"('r1', 1)","('r10', 2)",1,1,0,1,1,0,0,0,0,1,1,08:01:30,1,1,2,2,2,4,2,0,0,2,0,1,4,1
6,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,3.0,2.0,2.0,"('r2', 2)","('r10', 2)",1,0,0,0,2,0,1,0,1,2,1,08:01:45,0,2,0,2,0,6,5,0,0,2,0,0,2,3
7,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,2.0,1.0,4.0,"('c3', 6)","('c3', 6)",1,0,0,0,1,0,0,0,5,0,0,08:02:00,1,1,2,1,1,5,1,0,0,2,1,0,6,1
8,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,3.0,1.0,1.0,"('r7', 2)","('c2', 2)",0,0,0,0,0,0,1,0,1,0,4,08:02:15,1,2,3,2,0,5,2,0,0,5,0,2,0,0
9,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,3.0,"('r7', 1)","('c3', 3)",1,1,0,0,1,0,1,0,1,1,0,08:02:30,2,0,1,1,1,4,1,0,0,6,2,0,3,1
10,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,3.0,2.0,2.0,"('r7', 1)","('c2', 2)",0,0,0,1,0,0,0,0,0,1,1,08:02:45,2,2,1,2,0,4,1,0,0,5,0,2,2,1
11,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,3.0,1.0,2.0,"('r7', 1)","('c3', 2)",1,0,0,0,0,1,0,0,0,0,3,08:03:00,1,3,0,2,0,4,1,0,1,6,0,0,2,2
12,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,3.0,1.0,3.0,"('c3', 3)","('r10', 4)",0,0,0,0,1,0,1,0,1,0,0,08:03:15,2,3,1,2,1,3,0,0,1,4,0,1,3,1
13,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,3.0,"('c2', 1)","('c2', 1)",0,0,0,2,0,0,2,0,0,3,1,08:03:30,2,3,0,1,2,3,0,0,1,3,1,1,4,1
14,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r10', 4)","('r10', 4)",1,0,0,1,1,0,3,0,0,2,1,08:03:45,1,4,1,0,4,2,2,0,1,4,0,2,1,0
15,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('c2', 2)","('c3', 1)",1,0,0,0,0,1,1,0,0,1,0,08:04:00,1,3,1,0,5,1,2,0,3,3,0,2,1,0
16,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('c2', 1)","('r7', 2)",0,0,0,0,0,1,0,0,1,1,0,08:04:15,1,2,0,0,5,1,2,0,2,3,2,1,2,1
17,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,3.0,"('r9', 0)","('c3', 2)",0,1,1,1,1,3,0,0,1,1,1,08:04:30,2,3,2,0,6,1,1,0,0,3,1,1,2,0
18,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,1.0,"('c2', 0)","('c3', 0)",1,0,1,0,1,1,0,0,0,1,0,08:04:45,2,4,2,1,6,1,2,0,1,3,0,0,0,0
19,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,1.0,2.0,"('r10', 3)","('c3', 1)",0,0,0,1,1,0,0,0,0,1,0,08:05:00,3,2,1,1,5,2,2,0,1,3,0,0,1,1
20,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,3.0,1.0,2.0,"('c2', 0)","('c3', 1)",1,0,0,1,2,0,0,0,0,0,0,08:05:15,4,1,2,2,3,3,2,0,1,3,0,0,1,0
21,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,5.0,5.0,1.0,2.0,"('c3', 1)","('r10', 2)",1,0,0,1,1,0,0,0,0,0,1,08:05:30,5,0,2,4,2,2,3,0,1,2,0,0,1,0
22,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,4.0,1.0,2.0,"('r2', 3)","('c3', 2)",3,0,0,5,0,0,0,0,1,0,1,08:05:45,2,3,1,3,3,2,2,0,1,2,0,0,2,1
23,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,4.0,4.0,1.0,2.0,"('c3', 2)","('r7', 2)",0,0,0,2,0,0,0,0,0,0,2,08:06:00,3,2,1,3,3,1,2,0,1,2,0,1,2,1
24,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,5.0,2.0,1.0,2.0,"('c3', 3)","('r8', 0)",0,0,1,0,2,1,0,0,0,1,1,08:06:15,4,0,2,1,1,3,2,0,0,3,2,1,3,0
25,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,0.0,2.0,"('r2', 4)","('r8', 0)",2,0,0,0,1,0,1,0,2,2,0,08:06:30,2,4,1,1,2,2,2,0,0,3,1,1,2,1
26,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r1', 2)","('r8', 0)",2,0,0,0,1,0,1,0,0,1,0,08:06:45,2,3,1,0,1,3,3,0,0,3,2,0,3,1
27,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,2.0,"('r2', 2)","('r7', 3)",0,0,0,0,0,0,0,0,0,0,1,08:07:00,3,2,1,0,3,1,3,0,0,4,2,1,1,1
28,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,2.0,1.0,2.0,"('r2', 6)","('r8', 0)",2,1,0,0,1,0,3,0,1,0,0,08:07:15,1,6,3,1,1,2,2,0,0,3,1,1,1,0
29,no motion,no motion,no motion,no motion,no motion,no motion,no motion,motion,no motion,no motion,2.0,0.0,1.0,3.0,"('c3', 5)","('r8', 0)",0,0,0,0,2,0,0,0,2,5,3,08:07:30,1,1,2,0,1,2,3,0,0,3,2,1,5,1
30,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,1.0,3.0,"('r7', 2)","('r8', 0)",1,0,0,0,1,0,0,0,1,0,0,08:07:45,0,3,2,0,0,3,2,0,1,3,2,0,5,1
31,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,2.0,5.0,"('r8', 1)","('r7', 2)",0,1,0,0,0,0,0,0,1,2,0,08:08:00,0,2,3,0,1,2,2,1,1,2,1,1,6,0
32,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,1.0,1.0,3.0,"('r8', 0)","('r8', 0)",0,1,0,0,2,1,0,1,1,1,0,08:08:15,0,1,3,0,1,2,4,0,0,3,1,3,4,0
33,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,2.0,3.0,"('r7', 2)","('r8', 1)",0,1,0,0,1,0,0,0,3,0,0,08:08:30,1,1,3,0,2,1,2,1,0,4,0,1,5,1
34,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,2.0,2.0,2.0,"('c3', 2)","('r7', 3)",1,0,0,1,0,0,0,1,0,2,2,08:08:45,2,2,3,1,1,1,3,0,0,6,0,0,2,1
35,no motion,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('r10', 5)","('r7', 3)",1,0,0,1,0,0,0,0,0,1,1,08:09:00,1,4,3,0,2,1,3,0,0,5,0,0,2,1
36,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,2.0,3.0,"('c3', 3)","('r7', 1)",1,0,0,0,1,0,1,1,1,2,0,08:09:15,1,3,3,0,2,1,1,1,0,4,0,2,3,1
37,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,0.0,1.0,1.0,3.0,"('c2', 4)","('r7', 2)",1,0,0,0,0,0,1,1,0,3,1,08:09:30,0,1,4,0,2,1,2,0,0,4,0,4,4,0
38,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,2.0,1.0,3.0,"('c1', 2)","('c3', 4)",0,0,0,0,0,0,0,0,0,0,1,08:09:45,1,0,4,1,1,1,2,0,1,3,2,2,4,0
39,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,2.0,1.0,2.0,"('c2', 1)","('c3', 3)",0,2,0,0,1,1,0,0,0,2,1,08:10:00,1,3,6,1,0,2,2,0,3,0,0,1,3,0
40,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,2.0,1.0,2.0,"('c1', 0)","('r7', 2)",1,0,0,0,0,1,0,0,0,0,1,08:10:15,1,3,6,1,0,2,2,0,2,1,0,2,2,0
41,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,2.0,1.0,1.0,"('r3', 5)","('c3', 2)",1,0,0,0,0,0,1,0,1,1,1,08:10:30,0,3,5,1,0,2,3,0,2,3,0,0,2,1
42,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,2.0,2.0,2.0,"('r3', 6)","('r10', 2)",0,0,0,0,1,0,1,1,1,0,0,08:10:45,1,2,6,1,1,1,3,1,2,2,0,1,1,0
43,no motion,no motion,no motion,motion,no motion,no motion,no motion,no motion,no motion,no motion,1.0,4.0,2.0,1.0,"('outside', 0)","('c2', 1)",1,0,1,0,0,1,1,0,2,0,0,08:11:00,0,3,5,3,0,1,3,1,1,3,0,1,1,0
44,no motion,no motion,no motion,motion,no motion,no motion,no motion,motion,no motion,no motion,1.0,2.0,2.0,2.0,"('r3', 5)","('r10', 1)",0,0,1,2,0,0,1,0,0,0,1,08:11:15,0,3,5,1,1,1,4,1,1,1,1,1,2,0
45,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,2.0,2.0,"('r3', 3)","('c2', 1)",1,2,0,0,1,1,1,0,1,1,0,08:11:30,2,2,3,0,0,2,3,1,2,0,2,1,2,2
46,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,3.0,1.0,1.0,2.0,"('outside', 1)","('c1', 0)",0,3,0,0,0,0,0,1,1,0,0,08:11:45,2,2,5,0,0,2,3,0,3,0,0,2,2,1
47,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,3.0,"('r3', 4)","('r4', 0)",1,1,0,0,0,1,1,0,1,1,0,08:12:00,1,2,4,0,0,2,2,0,4,1,1,1,3,1
48,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,no motion,2.0,1.0,1.0,2.0,"('outside', 0)","('r4', 0)",0,0,0,0,0,1,0,0,0,1,3,08:12:15,1,1,5,0,0,2,2,0,3,4,0,3,1,0
